t_s,robot_x,robot_y,robot_z,robot_qw,robot_qx,robot_qy,robot_qz,elevator_x,elevator_y,elevator_z,elevator_qw,elevator_qx,elevator_qy,elevator_qz,pivot_x,pivot_y,pivot_z,pivot_qw,pivot_qx,pivot_qy,pivot_qz
0.540009,6.647738,5.885641,0.000000,0.907438,0.000000,0.000000,0.420186,0.000000,0.000000,0.792925,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.653350,0.994158,0.000000,-0.107935,0.000000
0.560024,6.625235,5.869934,0.000000,0.902639,0.000000,0.000000,0.430399,0.000000,0.000000,0.797421,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.657846,0.993907,0.000000,-0.110222,0.000000
0.580002,6.579053,5.862005,0.000000,0.899678,0.000000,0.000000,0.436555,0.000000,0.000000,0.795009,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.655434,0.993737,0.000000,-0.111747,0.000000
0.600018,6.554282,5.845928,0.000000,0.895660,0.000000,0.000000,0.444739,0.000000,0.000000,0.792981,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.653406,0.993822,0.000000,-0.110984,0.000000
0.620015,6.521028,5.838887,0.000000,0.891551,0.000000,0.000000,0.452920,0.000000,0.000000,0.796379,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.656804,0.994644,0.000000,-0.103359,0.000000
0.640012,6.510733,5.816091,0.000000,0.885891,0.000000,0.000000,0.463894,0.000000,0.000000,0.800236,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.660661,0.995185,0.000000,-0.098017,0.000000
0.697702,6.390882,5.786332,0.000000,0.874619,0.000000,0.000000,0.484811,0.000000,0.000000,0.802810,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663235,0.986809,0.000000,-0.161886,0.000000
0.718682,6.346647,5.772642,0.000000,0.871698,0.000000,0.000000,0.490044,0.000000,0.000000,0.802630,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663055,0.979724,0.000000,-0.200353,0.000000
0.737881,6.293818,5.769998,0.000000,0.870839,0.000000,0.000000,0.491568,0.000000,0.000000,0.802500,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662925,0.971139,0.000000,-0.238514,0.000000
0.757953,6.245163,5.755882,0.000000,0.869221,0.000000,0.000000,0.494423,0.000000,0.000000,0.802649,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663074,0.958047,0.000000,-0.286613,0.000000
0.778042,6.185889,5.754972,0.000000,0.869695,0.000000,0.000000,0.493590,0.000000,0.000000,0.802481,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662906,0.943084,0.000000,-0.332553,0.000000
0.797817,6.137580,5.744283,0.000000,0.869343,0.000000,0.000000,0.494208,0.000000,0.000000,0.802357,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662782,0.924173,0.000000,-0.381975,0.000000
0.817832,6.093378,5.744641,0.000000,0.870219,0.000000,0.000000,0.492666,0.000000,0.000000,0.798550,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.658975,0.902012,0.000000,-0.431711,0.000000
0.837885,6.048272,5.734272,0.000000,0.869801,0.000000,0.000000,0.493402,0.000000,0.000000,0.790842,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.651267,0.872721,0.000000,-0.488220,0.000000
0.857844,6.000897,5.723536,0.000000,0.868896,0.000000,0.000000,0.494996,0.000000,0.000000,0.776889,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.637314,0.838643,0.000000,-0.544682,0.000000
0.877878,5.955887,5.710384,0.000000,0.868607,0.000000,0.000000,0.495501,0.000000,0.000000,0.757523,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.617948,0.801835,0.000000,-0.597546,0.000000
0.897857,5.916304,5.685447,0.000000,0.867934,0.000000,0.000000,0.496680,0.000000,0.000000,0.733692,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.594117,0.758210,0.000000,-0.652011,0.000000
0.917854,5.887438,5.660167,0.000000,0.868197,0.000000,0.000000,0.496219,0.000000,0.000000,0.704732,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.565157,0.708191,0.000000,-0.706021,0.000000
0.937813,5.850229,5.634851,0.000000,0.868130,0.000000,0.000000,0.496337,0.000000,0.000000,0.671705,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.532130,0.660690,0.000000,-0.750659,0.000000
0.957829,5.805873,5.615206,0.000000,0.868683,0.000000,0.000000,0.495368,0.000000,0.000000,0.634305,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.494730,0.603067,0.000000,-0.797691,0.000000
0.977826,5.768209,5.611039,0.000000,0.869738,0.000000,0.000000,0.493514,0.000000,0.000000,0.591307,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.451732,0.545325,0.000000,-0.838225,0.000000
0.997823,5.727728,5.602108,0.000000,0.869825,0.000000,0.000000,0.493360,0.000000,0.000000,0.550156,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.410581,0.488220,0.000000,-0.872721,0.000000
1.017820,5.685532,5.599384,0.000000,0.869788,0.000000,0.000000,0.493425,0.000000,0.000000,0.507225,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.367650,0.435167,0.000000,-0.900350,0.000000
1.037816,5.646429,5.601253,0.000000,0.870285,0.000000,0.000000,0.492549,0.000000,0.000000,0.466310,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.326735,0.381975,0.000000,-0.924173,0.000000
1.057813,5.606600,5.601645,0.000000,0.870026,0.000000,0.000000,0.493007,0.000000,0.000000,0.428823,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.289248,0.335445,0.000000,-0.942060,0.000000
1.077829,5.567218,5.602384,0.000000,0.869355,0.000000,0.000000,0.494187,0.000000,0.000000,0.395697,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.256122,0.282937,0.000000,-0.959139,0.000000
1.097826,5.534174,5.606373,0.000000,0.868893,0.000000,0.000000,0.495000,0.000000,0.000000,0.373193,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.233618,0.226578,0.000000,-0.973993,0.000000
1.117823,5.497934,5.604361,0.000000,0.867568,0.000000,0.000000,0.497319,0.000000,0.000000,0.356543,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.216968,0.163400,0.000000,-0.986560,0.000000
1.137875,5.459583,5.600573,0.000000,0.865926,0.000000,0.000000,0.500173,0.000000,0.000000,0.345387,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.205812,0.103359,0.000000,-0.994644,0.000000
1.157835,5.439100,5.601593,0.000000,0.865362,0.000000,0.000000,0.501148,0.000000,0.000000,0.338206,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.198631,0.103359,0.000000,-0.994644,0.000000
1.177813,5.404433,5.594310,0.000000,0.863438,0.000000,0.000000,0.504454,0.000000,0.000000,0.336265,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.196690,-0.008437,0.000000,-0.999964,0.000000
1.197847,5.374593,5.587132,0.000000,0.862215,0.000000,0.000000,0.506543,0.000000,0.000000,0.336010,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.196435,-0.053664,0.000000,-0.998559,0.000000
1.217918,5.353615,5.583509,0.000000,0.861351,0.000000,0.000000,0.508010,0.000000,0.000000,0.335924,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.196349,-0.088090,0.000000,-0.996113,0.000000
1.237860,5.328735,5.575568,0.000000,0.859692,0.000000,0.000000,0.510813,0.000000,0.000000,0.336854,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.197279,-0.116319,0.000000,-0.993212,0.000000
1.257931,5.313455,5.571454,0.000000,0.858034,0.000000,0.000000,0.513592,0.000000,0.000000,0.342373,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.202798,-0.135341,0.000000,-0.990799,0.000000
1.277835,5.289714,5.563039,0.000000,0.855765,0.000000,0.000000,0.517365,0.000000,0.000000,0.354695,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.215120,-0.145972,0.000000,-0.989289,0.000000
1.297887,5.266148,5.555078,0.000000,0.853406,0.000000,0.000000,0.521247,0.000000,0.000000,0.373335,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.233760,-0.149006,0.000000,-0.988836,0.000000
1.317829,5.250805,5.549835,0.000000,0.851652,0.000000,0.000000,0.524108,0.000000,0.000000,0.396993,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.257418,-0.149006,0.000000,-0.988836,0.000000
1.337826,5.234282,5.544639,0.000000,0.850384,0.000000,0.000000,0.526162,0.000000,0.000000,0.426145,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.286570,-0.145972,0.000000,-0.989289,0.000000
1.357822,5.217604,5.539887,0.000000,0.850040,0.000000,0.000000,0.526718,0.000000,0.000000,0.456536,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.316961,-0.136101,0.000000,-0.990695,0.000000
1.377819,5.206286,5.536852,0.000000,0.850394,0.000000,0.000000,0.526147,0.000000,0.000000,0.492032,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.352457,-0.125455,0.000000,-0.992099,0.000000
1.397816,5.192427,5.533680,0.000000,0.850878,0.000000,0.000000,0.525363,0.000000,0.000000,0.532247,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.392672,-0.116319,0.000000,-0.993212,0.000000
1.417869,5.179478,5.530615,0.000000,0.851072,0.000000,0.000000,0.525049,0.000000,0.000000,0.574098,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.434523,-0.110222,0.000000,-0.993907,0.000000
1.437847,5.171368,5.529334,0.000000,0.852591,0.000000,0.000000,0.522579,0.000000,0.000000,0.616055,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.476480,-0.104884,0.000000,-0.994484,0.000000
1.458085,5.159545,5.527107,0.000000,0.853602,0.000000,0.000000,0.520926,0.000000,0.000000,0.662291,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.522716,-0.101833,0.000000,-0.994802,0.000000
1.478119,5.151668,5.525263,0.000000,0.854675,0.000000,0.000000,0.519164,0.000000,0.000000,0.702146,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.562571,-0.101070,0.000000,-0.994879,0.000000
1.497819,5.146337,5.524662,0.000000,0.855880,0.000000,0.000000,0.517175,0.000000,0.000000,0.734479,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.594904,-0.094963,0.000000,-0.995481,0.000000
1.517872,5.139044,5.523453,0.000000,0.856974,0.000000,0.000000,0.515360,0.000000,0.000000,0.760989,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.621414,-0.088854,0.000000,-0.996045,0.000000
1.537813,5.133593,5.521923,0.000000,0.857978,0.000000,0.000000,0.513686,0.000000,0.000000,0.779742,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.640167,-0.084269,0.000000,-0.996443,0.000000
1.557810,5.130525,5.521489,0.000000,0.858925,0.000000,0.000000,0.512102,0.000000,0.000000,0.791580,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.652005,-0.081976,0.000000,-0.996634,0.000000
1.577844,5.126646,5.520568,0.000000,0.859530,0.000000,0.000000,0.511085,0.000000,0.000000,0.798122,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.658547,-0.080447,0.000000,-0.996759,0.000000
1.597934,5.124055,5.519552,0.000000,0.859842,0.000000,0.000000,0.510561,0.000000,0.000000,0.800026,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.660451,-0.080447,0.000000,-0.996759,0.000000
